original coordinate,"ETRS89 Geodetic ( Degrees, Minutes, Seconds )","ETRS89 Geodetic ( Degrees, Decimal Minutes )","ETRS89 Geodetic ( Decimal Degrees )","ETRS89 XYZ","National Grid Eastings and Northings","National Grid KM Square"
"257420 661000","55, 49, 16.057111, W, 4, 16, 38.373592, 54.1982","55, 49.267619, W, 4, 16.63956, 54.1982","55.8211269753, -4.2773259977, 54.1982","3581363.4924, -267858.8289, 5253324.568","257420 661000 0 1","NS5760"
"257500 371600","53, 13, 20.272676, W, 4, 8, 9.192946, 54.614","53, 13.337878, W, 4, 8.153216, 54.614","53.2222979654, -4.1358869294, 54.614","3816959.9489, -276006.2174, 5085437.2894","257500 371600 -0 1","SH5771"
"257562 659695","55, 48, 34.030399, W, 4, 16, 27.760573, 54.2255","55, 48.567173, W, 4, 16.462676, 54.2255","55.8094528886, -4.274377937, 54.2255","3582449.5172, -267754.6958, 5252594.2894","257562 659695 -0 1","NS5759"
"257580 662840","55, 50, 15.695926, W, 4, 16, 32.660542, 54.16","55, 50.261599, W, 4, 16.544342, 54.16","55.8376933127, -4.2757390394, 54.16","3579849.0618, -267645.8531, 5254360.5107","257580 662840 0 1","NS5762"
"257680 894770","57, 55, 10.180598, W, 4, 24, 15.379802, 53.3741","57, 55.169677, W, 4, 24.25633, 53.3741","57.9194946106, -4.4042721672, 53.3741","3385665.0263, -260766.6687, 5381026.1155","257680 894770 0 1","NH5794"
"257800 328000","52, 49, 50.593569, W, 4, 6, 43.799668, 54.1861","52, 49.843226, W, 4, 6.729994, 54.1861","52.8307204357, -4.1121665744, 54.1861","3851798.8206, -276922.5047, 5059227.3487","257800 328000 -0 1","SH5727"
"257900 326900","52, 49, 15.114923, W, 4, 6, 36.735327, 54.1725","52, 49.251915, W, 4, 6.612255, 54.1725","52.8208652563, -4.1102042575, 54.1725","3852679.9181, -276853.2189, 5058564.6533","257900 326900 -0 1","SH5726"
"257960 665300","55, 51, 35.605919, W, 4, 16, 15.472804, 54.1171","55, 51.593432, W, 4, 16.25788, 54.1171","55.8598905332, -4.2709646678, 54.1171","3577831.7462, -267195.2294, 5255747.8887","257960 665300 0 1","NS5765"
"257985 895356","57, 55, 29.462454, W, 4, 23, 58.126161, 53.3566","57, 55.491041, W, 4, 23.968769, 53.3566","57.9248506817, -4.3994794892, 53.3566","3385182.8389, -260444.6885, 5381342.9079","257985 895356 0 1","NH5795"
"258040 663200","55, 50, 27.819356, W, 4, 16, 6.918628, 54.144","55, 50.463656, W, 4, 16.11531, 54.144","55.8410609323, -4.2685885077, 54.144","3579573.029, -267175.9908, 5254571.0375","258040 663200 0 1","NS5863"
"258050 665830","55, 51, 52.830817, W, 4, 16, 11.300118, 54.1099","55, 51.880514, W, 4, 16.188335, 54.1099","55.8646752269, -4.2698055885, 54.1099","3577397.4354, -267090.0213, 5256046.8418","258050 665830 0 1","NS5865"
"258075 126080","51, 0, 59.504179, W, 4, 1, 29.081367, 52.885","51, 0.991736, W, 4, 1.484689, 52.885","51.0165289386, -4.0247448242, 52.885","4010719.1695, -282197.4716, 4934742.7289","258075 126080 0 1","SS5826"
"258100 331400","52, 51, 40.833116, W, 4, 6, 33.110633, 54.2573","52, 51.680552, W, 4, 6.551844, 54.2573","52.8613425321, -4.1091973982, 54.2573","3849104.1548, -276528.2754, 5061285.5521","258100 331400 -0 1","SH5831"
"258135 662555","55, 50, 7.073702, W, 4, 16, 0.248376, 54.1534","55, 50.117895, W, 4, 16.00414, 54.1534","55.8352982505, -4.26673566, 54.1534","3580111.1093, -267099.7333, 5254210.7573","258135 662555 0 1","NS5862"
"258170 323330","52, 47, 19.917059, W, 4, 6, 16.742403, 54.1354","52, 47.331951, W, 4, 6.27904, 54.1354","52.7888658497, -4.1046506676, 54.1354","3855536.0681, -276682.8234, 5056411.8829","258170 323330 -0 1","SH5823"
"258220 656430","55, 46, 49.200948, W, 4, 15, 43.874714, 54.2936","55, 46.820016, W, 4, 15.731245, 54.2936","55.7803335966, -4.2621874207, 54.2936","3585180.3546, -267191.7519, 5250771.7683","258220 656430 0 1","NS5856"
"258260 300700","52, 35, 8.126306, W, 4, 5, 36.844025, 54.1523","52, 35.135438, W, 4, 5.614067, 54.1523","52.5855906404, -4.0935677848, 54.1523","3873534.7545, -277221.3369, 5042699.9913","258260 300700 -0 1","SH5800"
"258265 903922","58, 0, 6.518934, W, 4, 23, 59.609989, 53.3924","58, 0.108649, W, 4, 23.9935, 53.3924","58.0018108151, -4.3998916637, 53.3924","3377936.1272, -259911.5947, 5385889.8773","258265 903922 0 1","NC5803"
"258455 661570","55, 49, 35.576887, W, 4, 15, 40.022469, 54.1659","55, 49.592948, W, 4, 15.667041, 54.1659","55.8265491352, -4.2611173526, 54.1659","3580941.0368, -266808.5596, 5253663.6637","258455 661570 0 1","NS5861"
"258460 660580","55, 49, 3.585071, W, 4, 15, 37.879362, 54.1871","55, 49.059751, W, 4, 15.631323, 54.1871","55.8176625197, -4.260522045, 54.1871","3581760.1129, -266832.1659, 5253107.854","258460 660580 -0 1","NS5860"
"258500 281600","52, 24, 50.61206, W, 4, 4, 54.857698, 54.1383","52, 24.843534, W, 4, 4.914295, 54.1383","52.4140589056, -4.081904916, 54.1383","3888695.9075, -277510.783, 5031080.1012","258500 281600 -0 1","SN5881"
"258660 321510","52, 46, 21.520382, W, 4, 5, 47.773104, 54.1338","52, 46.358673, W, 4, 5.796218, 54.1338","52.7726445507, -4.0966036401, 54.1338","3857008.7098, -276244.0138, 5055320.003","258660 321510 -0 1","SH5821"
"258737 665139","55, 51, 31.224715, W, 4, 15, 30.518856, 54.1027","55, 51.520412, W, 4, 15.508648, 54.1027","55.858673532, -4.2584774599, 54.1027","3578001.7259, -266423.7872, 5255671.8299","258737 665139 0 1","NS5865"
"258750 662310","55, 49, 59.80511, W, 4, 15, 24.46951, 54.1451","55, 49.996752, W, 4, 15.407825, 54.1451","55.8332791971, -4.2567970862, 54.1451","3580342.8731, -266492.5263, 5254084.5049","258750 662310 0 1","NS5862"
"258790 204080","51, 43, 3.451091, W, 4, 2, 44.035131, 53.0642","51, 43.057518, W, 4, 2.733919, 53.0642","51.717625303, -4.0455653141, 53.0642","3949837.0051, -279356.2114, 4983441.016","258790 204080 0 1","SN5804"
"258794 665257","55, 51, 35.098616, W, 4, 15, 27.464618, 54.1005","55, 51.584977, W, 4, 15.457744, 54.1005","55.8597496156, -4.2576290605, 54.1005","3577906.7798, -266363.4443, 5255739.0696","258794 665257 0 1","NS5865"
"258850 668640","55, 53, 24.496502, W, 4, 15, 30.595065, 54.0815","55, 53.408275, W, 4, 15.509918, 54.0815","55.8901379173, -4.2584986291, 54.0815","3575109.5891, -266209.7622, 5257637.1721","258850 668640 0 1","NS5868"
"258870 655110","55, 46, 7.221196, W, 4, 15, 4.135331, 54.3117","55, 46.120353, W, 4, 15.068922, 54.3117","55.7686725545, -4.251148703, 54.3117","3586302.3169, -266580.5963, 5250041.5386","258870 655110 0 1","NS5855"
"258920 309720","52, 40, 0.465592, W, 4, 5, 15.673199, 54.1763","52, 40.00776, W, 4, 5.26122, 54.1763","52.6667959978, -4.0876869996, 54.1763","3866400.199, -276311.8573, 5048185.3069","258920 309720 -0 1","SH5809"
"259190 665515","55, 51, 43.854394, W, 4, 15, 5.190162, 54.0906","55, 51.730907, W, 4, 15.086503, 54.0906","55.8621817762, -4.2514417118, 54.0906","3577712.0015, -265960.4498, 5255891.0337","259190 665515 0 1","NS5965"
"259220 664970","55, 51, 26.271475, W, 4, 15, 2.447022, 54.0943","55, 51.437858, W, 4, 15.040784, 54.0943","55.8572976321, -4.2506797284, 54.0943","3578164.3886, -265946.23, 5255585.844","259220 664970 0 1","NS5964"
"259220 94430","50, 43, 56.535517, W, 3, 59, 46.453793, 52.6147","50, 43.942259, W, 3, 59.77423, 52.6147","50.7323709771, -3.9962371646, 52.6147","4035322.4848, -281910.9267, 4914794.8923","259220 94430 0 1","SX5994"
"259240 196400","51, 38, 55.423616, W, 4, 2, 9.436746, 52.882","51, 38.923727, W, 4, 2.157279, 52.882","51.6487287822, -4.0359546516, 52.882","3955883.1522, -279116.9692, 4978688.1403","259240 196400 0 1","SS5996"
"259241 665531","55, 51, 44.425165, W, 4, 15, 2.289068, 54.0895","55, 51.740419, W, 4, 15.038151, 54.0895","55.8623403235, -4.2506358523, 54.0895","3577701.1705, -265909.0466, 5255900.9392","259241 665531 0 1","NS5965"
"259345 660760","55, 49, 10.334472, W, 4, 14, 47.410427, 54.1654","55, 49.172241, W, 4, 14.790174, 54.1654","55.8195373532, -4.2465028963, 54.1654","3581653.0708, -265942.984, 5253225.111","259345 660760 -0 1","NS5960"
"259427 668485","55, 53, 20.09482, W, 4, 14, 57.120633, 54.0718","55, 53.334914, W, 4, 14.952011, 54.0718","55.8889152278, -4.2492001758, 54.0718","3575265.1438, -265637.9102, 5257560.8208","259427 668485 0 1","NS5968"
"259870 318010","52, 44, 29.462665, W, 4, 4, 37.860171, 54.1487","52, 44.491044, W, 4, 4.631003, 54.1487","52.7415174068, -4.0771833809, 54.1487","3859852.6894, -275132.7369, 5053223.6713","259870 318010 -0 1","SH5918"
"259890 665200","55, 51, 34.408108, W, 4, 14, 24.374135, 54.08","55, 51.573468, W, 4, 14.406236, 54.08","55.8595578077, -4.2401039264, 54.08","3578005.701, -265270.3589, 5255727.0671","259890 665200 0 1","NS5965"
"259940 338560","52, 55, 34.123242, W, 4, 5, 5.901548, 54.4165","52, 55.568721, W, 4, 5.098359, 54.4165","52.926145345, -4.0849726521, 54.4165","3843484.0575, -274491.1461, 5065636.3985","259940 338560 -0 1","SH5938"
"259990 338530","52, 55, 33.200023, W, 4, 5, 3.179204, 54.4164","52, 55.553334, W, 4, 5.052987, 54.4164","52.9258888953, -4.0842164454, 54.4164","3843510.3923, -274442.0404, 5065619.1938","259990 338530 -0 1","SH5938"
"260030 890446","57, 52, 53.163747, W, 4, 21, 43.524916, 53.2853","57, 52.886062, W, 4, 21.725415, 53.2853","57.8814343743, -4.3620902545, 53.2853","3389436.6315, -258547.1515, 5378773.4559","260030 890446 0 1","NH6090"
"260260 334950","52, 53, 37.675875, W, 4, 4, 43.182151, 54.3639","52, 53.627931, W, 4, 4.719703, 54.3639","52.8937988543, -4.0786617087, 54.3639","3846378.4021, -274272.0287, 5063465.4909","260260 334950 -0 1","SH6034"
"260480 660580","55, 49, 5.702884, W, 4, 13, 41.918726, 54.1474","55, 49.095048, W, 4, 13.698645, 54.1474","55.818250801, -4.2283107571, 54.1474","3581855.4988, -264814.4866, 5253144.62","260480 660580 -0 1","NS6060"
"260570 667670","55, 52, 54.950398, W, 4, 13, 49.873752, 54.0538","55, 52.91584, W, 4, 13.831229, 54.0538","55.8819306661, -4.2305204867, 54.0538","3575993.6366, -264519.776, 5257124.6522","260570 667670 0 1","NS6067"
"260600 296000","52, 32, 38.295288, W, 4, 3, 25.475006, 54.1633","52, 32.638255, W, 4, 3.424583, 54.1633","52.5439709134, -4.0570763906, 54.1633","3877378.8442, -275014.4319, 5039884.7375","260600 296000 -0 1","SN6095"
"260732 663992","55, 50, 56.243467, W, 4, 13, 33.75261, 54.075","55, 50.937391, W, 4, 13.562543, 54.075","55.8489565185, -4.2260423916, 54.075","3579044.9086, -264464.2234, 5255064.5334","260732 663992 0 1","NS6063"
"260800 654300","55, 45, 43.053973, W, 4, 13, 11.989145, 54.2906","55, 45.717566, W, 4, 13.199819, 54.2906","55.761959437, -4.2199969848, 54.2906","3587062.9687, -264676.1544, 5249621.0299","260800 654300 0 1","NS6054"
"260865 664850","55, 51, 24.112907, W, 4, 13, 27.696225, 54.0635","55, 51.401882, W, 4, 13.461604, 54.0635","55.8566980297, -4.2243600625, 54.0635","3578341.2631, -264306.588, 5255548.3488","260865 664850 0 1","NS6064"
"260900 290100","52, 29, 27.748191, W, 4, 3, 0.67082, 54.156","52, 29.46247, W, 4, 3.01118, 54.156","52.4910411643, -4.0501863389, 54.156","3882074.0954, -274878.2765, 5036300.6021","260900 290100 -0 1","SN6090"
"260950 123800","50, 59, 48.268338, W, 3, 58, 58.474037, 52.8323","50, 59.804472, W, 3, 58.974567, 52.8323","50.996741205, -3.9829094548, 52.8323","4012630.9334, -279387.7483, 4933357.5178","260950 123800 0 1","SS6023"
"261000 670100","55, 54, 13.937488, W, 4, 13, 29.64436, 54.0401","55, 54.232291, W, 4, 13.494073, 54.0401","55.9038715243, -4.2249012111, 54.0401","3574002.3413, -264020.0427, 5258494.4839","261000 670100 0 1","NS6170"
"261000 336100","52, 54, 15.558399, W, 4, 4, 5.382309, 54.3956","52, 54.259307, W, 4, 4.089705, 54.3956","52.9043217775, -4.0681617526, 54.3956","3845496.9761, -273500.8821, 5064171.9164","261000 336100 -0 1","SH6136"
"261025 667160","55, 52, 38.9404, W, 4, 13, 22.768142, 54.0476","55, 52.649007, W, 4, 13.379469, 54.0476","55.8774834443, -4.2229911506, 54.0476","3576437.1712, -264080.0319, 5256846.8979","261025 667160 0 1","NS6167"
"261200 315900","52, 43, 22.457681, W, 4, 3, 23.77349, 54.1847","52, 43.374295, W, 4, 3.396225, 54.1847","52.7229049113, -4.0566037471, 54.1847","3861595.4764, -273862.9352, 5051969.4798","261200 315900 -0 1","SH6115"
"261230 663210","55, 50, 31.485571, W, 4, 13, 3.701287, 54.0762","55, 50.52476, W, 4, 13.061688, 54.0762","55.8420793253, -4.2176948019, 54.0762","3579715.3284, -263989.3811, 5254634.6467","261230 663210 0 1","NS6163"
"261320 338820","52, 55, 43.822238, W, 4, 3, 52.451216, 54.4429","52, 55.730371, W, 4, 3.874187, 54.4429","52.9288395107, -4.0645697821, 54.4429","3843342.9565, -273105.5196, 5065817.1602","261320 338820 -0 1","SH6138"
"261540 661920","55, 49, 50.112201, W, 4, 12, 43.52541, 54.0926","55, 49.835203, W, 4, 12.725423, 54.0926","55.8305867225, -4.2120903916, 54.0926","3580797.0579, -263716.9948, 5253916.0986","261540 661920 -0 1","NS6161"
"261580 665020","55, 51, 30.348727, W, 4, 12, 46.921838, 54.0482","55, 51.505812, W, 4, 12.782031, 54.0482","55.8584302018, -4.213033844, 54.0482","3578234.2441, -263587.4899, 5255656.5794","261580 665020 0 1","NS6165"
"261600 312900","52, 41, 45.800793, W, 4, 2, 57.918647, 54.2352","52, 41.763347, W, 4, 2.965311, 54.2352","52.6960557759, -4.0494218463, 54.2352","3864000.9003, -273546.7512, 5050159.33","261600 312900 -0 1","SH6112"
"261747 665542","55, 51, 47.392994, W, 4, 12, 38.283546, 54.0417","55, 51.789883, W, 4, 12.638059, 54.0417","55.8631647206, -4.2106343183, 54.0417","3577810.1505, -263405.5994, 5255952.4093","261747 665542 0 1","NS6165"
"261780 614260","55, 24, 9.867362, W, 4, 11, 3.585273, 54.6342","55, 24.164456, W, 4, 11.059755, 54.6342","55.4027409338, -4.1843292426, 54.6342","3620131.5777, -264850.3968, 5227016.0939","261780 614260 -0 1","NS6114"
"261800 337900","52, 55, 14.514909, W, 4, 3, 25.35106, 54.4365","52, 55.241915, W, 4, 3.422518, 54.4365","52.9206985859, -4.0570419611, 54.4365","3844099.813, -272651.6978, 5065270.9796","261800 337900 -0 1","SH6137"
"262000 215500","51, 49, 15.748867, W, 4, 0, 13.201481, 53.3089","51, 49.262481, W, 4, 0.220025, 53.3089","51.8210413519, -4.0036670781, 53.3089","3941023.8111, -275836.7011, 4990561.7452","262000 215500 0 1","SN6215"
"262100 660380","55, 49, 0.914839, W, 4, 12, 8.552706, 54.1199","55, 49.015247, W, 4, 12.142545, 54.1199","55.8169207887, -4.2023757518, 54.1199","3582097.1577, -263202.104, 5253061.3999","262100 660380 -0 1","NS6260"
"262100 296150","52, 32, 44.52227, W, 4, 2, 6.124563, 54.1848","52, 32.742038, W, 4, 2.102076, 54.1848","52.5457006306, -4.0350346008, 54.1848","3877331.9509, -273512.0261, 5040001.8097","262100 296150 -0 1","SN6296"
"262300 210800","51, 46, 43.978329, W, 3, 59, 50.816954, 53.1968","51, 46.732972, W, 3, 59.846949, 53.1968","51.7788828692, -3.997449154, 53.1968","3944730.935, -275665.978, 4987660.8608","262300 210800 0 1","SN6210"
"262400 212700","51, 47, 45.528958, W, 3, 59, 48.316765, 53.2357","51, 47.758816, W, 3, 59.805279, 53.2357","51.7959802661, -3.9967546569, 53.2357","3943243.2351, -275513.984, 4988837.6353","262400 212700 0 1","SN6212"
"262670 98535","50, 46, 12.327229, W, 3, 56, 56.085184, 52.5637","50, 46.205454, W, 3, 56.934753, 52.5637","50.7700908969, -3.9489125512, 52.5637","4032312.1311, -278353.9881, 4917449.6973","262670 98535 0 1","SX6298"
"262800 314100","52, 42, 25.711097, W, 4, 1, 55.840991, 54.2588","52, 42.428518, W, 4, 1.930683, 54.2588","52.7071419715, -4.032178053, 54.2588","3863104.1076, -272314.8184, 5050906.9229","262800 314100 -0 1","SH6214"
"262900 221200","51, 52, 20.931059, W, 3, 59, 34.363611, 53.4085","51, 52.348851, W, 3, 59.572727, 53.4085","51.8724808498, -3.9928787809, 53.4085","3936585.977, -274781.2459, 4994097.5716","262900 221200 0 1","SN6221"
"263100 119320","50, 57, 25.180131, W, 3, 57, 2.16437, 52.7829","50, 57.419669, W, 3, 57.036073, 52.7829","50.9569944809, -3.9506012138, 52.7829","4016214.884, -277361.7143, 4930573.38","263100 119320 0 1","SS6319"
"263310 654670","55, 45, 57.592166, W, 4, 10, 48.769763, 54.2255","55, 45.959869, W, 4, 10.812829, 54.2255","55.7659978238, -4.1802138231, 54.2255","3586875.114, -262158.3251, 5249873.9382","263310 654670 0 1","NS6354"
"263350 222620","51, 53, 7.262923, W, 3, 59, 12.872179, 53.4251","51, 53.121049, W, 3, 59.214536, 53.4251","51.8853508121, -3.9869089385, 53.4251","3935490.7656, -274292.751, 4994981.5879","263350 222620 0 1","SN6322"
"263420 784900","56, 56, 6.555484, W, 4, 14, 46.289263, 54.0092","56, 56.109258, W, 4, 14.771488, 54.0092","56.9351543012, -4.2461914619, 54.0092","3478498.7709, -258264.6144, 5322009.0042","263420 784900 0 1","NN6384"
"263725 664555","55, 51, 17.520211, W, 4, 10, 42.811784, 54.0096","55, 51.292004, W, 4, 10.71353, 54.0096","55.8548667252, -4.178558829, 54.0096","3578719.6743, -261458.3349, 5255433.8609","263725 664555 0 1","NS6364"
"263950 660620","55, 49, 10.561947, W, 4, 10, 22.781801, 54.0685","55, 49.176032, W, 4, 10.379697, 54.0685","55.8196005407, -4.1729949447, 54.0685","3581985.4572, -261347.2364, 5253228.9831","263950 660620 -0 1","NS6360"
"264300 659975","55, 48, 50.068527, W, 4, 10, 1.527965, 54.0757","55, 48.834475, W, 4, 10.025466, 54.0757","55.8139079243, -4.1670911014, 54.0757","3582535.304, -261016.2419, 5252872.8868","264300 659975 0 1","NS6459"
"264745 56570","50, 23, 36.222824, W, 3, 54, 15.22275, 51.9054","50, 23.603714, W, 3, 54.253712, 51.9054","50.3933952288, -3.9042285416, 51.9054","4064824.5881, -277413.3277, 4890841.132","264745 56570 0 1","SX6456"
"264880 664370","55, 51, 12.711432, W, 4, 9, 36.109653, 53.9882","55, 51.211857, W, 4, 9.601828, 53.9882","55.8535309533, -4.1600304592, 53.9882","3578926.7882, -260309.9592, 5255350.3637","264880 664370 0 1","NS6464"
"264930 662230","55, 50, 3.592185, W, 4, 9, 29.401089, 54.0116","55, 50.05987, W, 4, 9.490018, 54.0116","55.8343311624, -4.1581669693, 54.0116","3580699.583, -260321.8272, 5254150.1715","264930 662230 0 1","NS6462"
"264965 341560","52, 57, 15.784996, W, 4, 0, 41.480627, 54.5586","52, 57.263083, W, 4, 0.691344, 54.5586","52.9543847212, -4.0115223964, 54.5586","3841331.1539, -269388.3356, 5067530.4215","264965 341560 -0 1","SH6441"
"265500 671900","55, 55, 16.723018, W, 4, 9, 13.960376, 53.9563","55, 55.278717, W, 4, 9.232673, 53.9563","55.9213119495, -4.1538778824, 53.9563","3572722.852, -259473.0463, 5259582.731","265500 671900 0 1","NS6571"
"265700 193600","51, 37, 30.535535, W, 3, 56, 29.632008, 52.6998","51, 37.508926, W, 3, 56.493867, 52.6998","51.6251487596, -3.9415644468, 52.6998","3958389.7338, -272740.9886, 4977059.7139","265700 193600 0 1","SS6593"
"266000 869400","57, 41, 39.756209, W, 4, 14, 58.976241, 52.9622","57, 41.662603, W, 4, 14.982937, 52.9622","57.6943767246, -4.2497156226, 52.9622","3407515.3922, -253205.129, 5367667.7812","266000 869400 0 1","NH6669"
"266210 668405","55, 53, 24.469268, W, 4, 8, 26.861617, 53.9505","55, 53.407821, W, 4, 8.447694, 53.9505","55.8901303522, -4.1407948936, 53.9505","3575649.5466, -258864.8397, 5257636.5913","266210 668405 0 1","NS6668"
"266212 116910","50, 56, 9.834345, W, 3, 54, 19.55384, 52.6996","50, 56.163906, W, 3, 54.325897, 52.6996","50.936065096, -3.9054316221, 52.6996","4018236.1493, -274318.5591, 4929106.3455","266212 116910 0 1","SS6616"
"266450 660450","55, 49, 7.580687, W, 4, 7, 58.949259, 54.0076","55, 49.126345, W, 4, 7.982488, 54.0076","55.8187724129, -4.1330414607, 54.0076","3582242.8734, -258854.8785, 5253177.1324","266450 660450 0 1","NS6660"
"266485 662835","55, 50, 24.706032, W, 4, 8, 1.162223, 53.9689","55, 50.411767, W, 4, 8.01937, 53.9689","55.84019612, -4.133656173, 53.9689","3580271.6763, -258751.0512, 5254516.8272","266485 662835 0 1","NS6662"
"266788 845473","57, 28, 47.468487, W, 4, 13, 24.093103, 52.945","57, 28.791141, W, 4, 13.401552, 52.945","57.4798523576, -4.2233591954, 52.945","3427746.3941, -253123.0134, 5354861.3441","266788 845473 0 1","NH6645"
"266800 664500","55, 51, 18.83752, W, 4, 7, 46.011823, 53.9505","55, 51.313959, W, 4, 7.766864, 53.9505","55.8552326445, -4.1294477285, 53.9505","3578908.8047, -258388.3078, 5255456.6797","266800 664500 0 1","NS6664"
"267750 663275","55, 50, 40.18297, W, 4, 6, 49.268652, 53.9396","55, 50.669716, W, 4, 6.821144, 53.9396","55.8444952694, -4.1136857366, 53.9396","3579966.5557, -257474.7169, 5254785.561","267750 663275 0 1","NS6763"
"267800 375200","53, 15, 26.28958, W, 3, 58, 59.546387, 54.5083","53, 15.43816, W, 3, 58.99244, 54.5083","53.2573026611, -3.9832073298, 54.5083","3814568.3067, -265617.155, 5087768.6733","267800 375200 -0 1","SH6775"
"268210 664960","55, 51, 35.101851, W, 4, 6, 25.790892, 53.9238","55, 51.585031, W, 4, 6.429848, 53.9238","55.8597505142, -4.1071641367, 53.9238","3578593.7593, -256966.5528, 5255738.9795","268210 664960 0 1","NS6864"
"268230 111480","50, 53, 15.818024, W, 3, 52, 29.161542, 52.592","50, 53.263634, W, 3, 52.486026, 52.592","50.887727229, -3.8747670951, 52.592","4022546.6478, -272450.0205, 4925715.6902","268230 111480 0 1","SS6811"
"269265 657975","55, 47, 50.353262, W, 4, 5, 13.049141, 53.9805","55, 47.839221, W, 4, 5.217486, 53.9805","55.7973203505, -4.0869580948, 53.9805","3584420.5091, -256114.3772, 5251834.8753","269265 657975 0 1","NS6957"
"269370 660890","55, 49, 24.679472, W, 4, 5, 12.066023, 53.9308","55, 49.411325, W, 4, 5.2011, 53.9308","55.8235220757, -4.0866850065, 53.9308","3582014.7119, -255925.3179, 5253474.1513","269370 660890 0 1","NS6960"
"269690 298020","52, 33, 51.740513, W, 3, 55, 26.079669, 54.2514","52, 33.862342, W, 3, 55.434661, 54.2514","52.5643723647, -3.9239110192, 54.2514","3876209.4157, -265878.6549, 5041265.1439","269690 298020 -0 1","SN6998"
"269740 197540","51, 39, 41.421899, W, 3, 53, 4.926911, 52.7275","51, 39.690365, W, 3, 53.082115, 52.7275","51.661506083, -3.8847019198, 52.7275","3955493.6961, -268597.494, 4979569.9859","269740 197540 0 1","SS6997"
"269960 228550","51, 56, 24.790491, W, 3, 53, 35.388764, 53.4403","51, 56.413175, W, 3, 53.589813, 53.4403","51.9402195807, -3.8931635456, 53.4403","3931140.2557, -267527.0219, 4998747.5703","269960 228550 0 1","SN6928"
"269984 345894","52, 59, 40.425272, W, 3, 56, 18.965117, 54.6996","52, 59.673755, W, 3, 56.316085, 54.6996","52.9945625755, -3.9386014215, 54.6996","3838109.702, -264254.0256, 5070222.9977","269984 345894 0 1","SH6945"
"270029 667790","55, 53, 8.356773, W, 4, 4, 46.138055, 53.8845","55, 53.13928, W, 4, 4.768968, 53.8845","55.8856546592, -4.0794827931, 53.8845","3576336.0135, -255067.7455, 5257357.0679","270029 667790 0 1","NS7067"
"270270 663955","55, 51, 4.627632, W, 4, 4, 25.663757, 53.8901","55, 51.077127, W, 4, 4.427729, 53.8901","55.8512854533, -4.073795488, 53.8901","3579520.8555, -254937.7756, 5255209.943","270270 663955 0 1","NS7063"
"270443 868656","57, 41, 20.404999, W, 4, 10, 29.424678, 52.6673","57, 41.340083, W, 4, 10.490411, 52.6673","57.6890013885, -4.1748401883, 52.6673","3408347.8616, -248788.7194, 5367347.5589","270443 868656 0 1","NH7068"
"271220 655860","55, 46, 43.877545, W, 4, 3, 17.268755, 53.9672","55, 46.731292, W, 4, 3.287813, 53.9672","55.7788548735, -4.0547968763, 53.9672","3586259.6193, -254222.5529, 5250678.9089","271220 655860 -0 1","NS7155"
"271270 351410","53, 2, 39.946168, W, 3, 55, 17.952684, 54.763","53, 2.665769, W, 3, 55.299211, 54.763","53.0444294912, -3.9216535234, 54.763","3833764.8991, -262815.5185, 5073561.3539","271270 351410 0 1","SH7151"
"271500 231000","51, 57, 45.336684, W, 3, 52, 18.082786, 53.4627","51, 57.755611, W, 3, 52.30138, 53.4627","51.9625935234, -3.8716896629, 53.4627","3929284.29, -265921.2785, 5000281.934","271500 231000 0 1","SN7130"
"271580 798450","57, 3, 32.868635, W, 4, 7, 8.773508, 53.6046","57, 3.547811, W, 4, 7.146225, 53.6046","57.0591301765, -4.1191037522, 53.6046","3467514.4094, -249716.6421, 5329528.5536","271580 798450 0 1","NN7198"
"271821 376557","53, 16, 13.729828, W, 3, 55, 24.654358, 54.4257","53, 16.22883, W, 3, 55.410906, 54.4257","53.2704805077, -3.9235150995, 54.4257","3813670.3441, -261562.4706, 5088645.8199","271821 376557 0 1","SH7176"
"271870 664230","55, 51, 15.057408, W, 4, 2, 54.192815, 53.8652","55, 51.250957, W, 4, 2.903214, 53.8652","55.8541826133, -4.0483868931, 53.8652","3579367.2531, -253331.5153, 5255390.988","271870 664230 0 1","NS7164"
"272200 655200","55, 46, 23.479213, W, 4, 2, 19.947741, 53.9541","55, 46.39132, W, 4, 2.332462, 53.9541","55.7731886703, -4.0388743726, 53.9541","3586850.4565, -253262.6607, 5250324.0795","272200 655200 -0 1","NS7255"
"272230 665585","55, 51, 59.202702, W, 4, 2, 35.805733, 53.8562","55, 51.986712, W, 4, 2.596762, 53.8562","55.866445195, -4.0432793703, 53.8562","3578262.5934, -252932.7593, 5256157.2144","272230 665585 0 1","NS7265"
"272380 197460","51, 39, 41.014639, W, 3, 50, 47.488696, 52.6923","51, 39.683577, W, 3, 50.791478, 52.6923","51.6613929554, -3.8465246377, 52.6923","3955681.6182, -265962.4737, 4979562.1505","272380 197460 0 1","SS7297"
"272500 901980","57, 59, 19.302444, W, 4, 9, 29.477021, 52.8067","57, 59.321707, W, 4, 9.491284, 52.8067","57.9886951233, -4.1581880614, 52.8067","3380237.7095, -245749.2219, 5385115.1687","272500 901980 0 1","NC7201"
"272655 107950","50, 51, 25.174394, W, 3, 48, 38.376326, 52.4437","50, 51.419573, W, 3, 48.639605, 52.4437","50.8569928871, -3.8106600905, 52.4437","4025495.3471, -268125.3776, 4923557.9545","272655 107950 0 1","SS7207"
